section,category,description,region,date,metric,value
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-22,Confirmed COVID-19,56
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-23,Confirmed COVID-19,74
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-24,Confirmed COVID-19,116
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-25,Confirmed COVID-19,152
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-26,Confirmed COVID-19,230
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-27,Confirmed COVID-19,278
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-28,Confirmed COVID-19,307
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-29,Confirmed COVID-19,332
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-30,Confirmed COVID-19,358
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-03-31,Confirmed COVID-19,503
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-01,Confirmed COVID-19,574
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-02,Confirmed COVID-19,698
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-03,Confirmed COVID-19,739
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-04,Confirmed COVID-19,777
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-05,Confirmed COVID-19,783
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-06,Confirmed COVID-19,786
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-07,Confirmed COVID-19,786
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-08,Confirmed COVID-19,833
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-09,Confirmed COVID-19,848
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-10,Confirmed COVID-19,842
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-11,Confirmed COVID-19,841
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-12,Confirmed COVID-19,822
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-13,Confirmed COVID-19,842
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-14,Confirmed COVID-19,888
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-15,Confirmed COVID-19,878
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-16,Confirmed COVID-19,859
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-17,Confirmed COVID-19,858
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-18,Confirmed COVID-19,843
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-19,Confirmed COVID-19,874
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-20,Confirmed COVID-19,861
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-21,Confirmed COVID-19,851
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-22,Confirmed COVID-19,859
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-23,Confirmed COVID-19,873
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-24,Confirmed COVID-19,866
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-25,Confirmed COVID-19,834
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-26,Confirmed COVID-19,812
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-27,Confirmed COVID-19,776
